"","Answer.time_in_minutes","rawRT","key","Answer.condition","slide_type","workerid","slide_number","image","audio","logRT","rt"
"115",8.0155,1339,"Yes","all_QUD","trial_2",419,51,"13","some.wav",7.19967834569117,1339
"116",8.0155,1065,"No","all_QUD","trial_2",419,66,"13","some.wav",6.97073007814353,1065
"117",8.0155,1608,"Yes","all_QUD","trial_2",419,81,"13","some.wav",7.38274644973891,1608
"118",10.2955833333333,1633,"Yes","all_QUD","trial_1",420,18,"13","some.wav",7.39817409297047,1633
"119",10.2955833333333,1319,"Yes","all_QUD","trial_1",420,23,"13","some.wav",7.18462915271731,1319
"120",10.2955833333333,1394,"Yes","all_QUD","trial_1",420,34,"13","some.wav",7.23993259132047,1394
"121",10.2955833333333,1334,"Yes","all_QUD","trial_1",420,39,"13","some.wav",7.19593722647557,1334
"122",10.2955833333333,1406,"Yes","all_QUD","trial_2",420,49,"13","some.wav",7.24850407237061,1406
"123",10.2955833333333,1372,"Yes","all_QUD","trial_2",420,57,"13","some.wav",7.22402480828583,1372
"124",10.2955833333333,1368,"Yes","all_QUD","trial_2",420,74,"13","some.wav",7.2211050981825,1368
"125",10.2955833333333,1331,"Yes","all_QUD","trial_2",420,83,"13","some.wav",7.19368581839511,1331
"126",10.8530666666667,2029,"Yes","all_QUD","trial_1",421,13,"13","some.wav",7.61529833982581,2029
"127",10.8530666666667,1891,"No","all_QUD","trial_1",421,14,"13","some.wav",7.54486106865846,1891
"128",10.8530666666667,2276,"Yes","all_QUD","trial_1",421,31,"13","some.wav",7.73017479524622,2276
"129",10.8530666666667,1548,"Yes","all_QUD","trial_1",421,40,"13","some.wav",7.34471905414967,1548
"130",10.8530666666667,1964,"Yes","all_QUD","trial_2",421,61,"13","some.wav",7.58273848891441,1964
"131",10.8530666666667,1724,"Yes","all_QUD","trial_2",421,63,"13","some.wav",7.45240245122364,1724
"132",10.8530666666667,1742,"Yes","all_QUD","trial_2",421,76,"13","some.wav",7.46278915741245,1742
"133",10.8530666666667,1708,"Yes","all_QUD","trial_2",421,80,"13","some.wav",7.44307837434852,1708
"134",6.91218333333333,1306,"No","all_QUD","trial_1",422,21,"13","some.wav",7.17472430983638,1306
"135",6.91218333333333,1149,"No","all_QUD","trial_1",422,23,"13","some.wav",7.04664727784876,1149
"136",6.91218333333333,1043,"No","all_QUD","trial_1",422,30,"13","some.wav",6.94985645500077,1043
"137",6.91218333333333,1090,"No","all_QUD","trial_1",422,36,"13","some.wav",6.99393297522319,1090
"138",6.91218333333333,1043,"No","all_QUD","trial_2",422,54,"13","some.wav",6.94985645500077,1043
"139",6.91218333333333,1075,"No","all_QUD","trial_2",422,55,"13","some.wav",6.98007594056176,1075
"140",6.91218333333333,1289,"No","all_QUD","trial_2",422,69,"13","some.wav",7.16162200293919,1289
"141",6.91218333333333,1419,"No","all_QUD","trial_2",422,80,"13","some.wav",7.25770767716004,1419
"142",10.69735,3593,"Yes","all_QUD","trial_1",423,12,"13","some.wav",8.18674278711352,3593
"143",10.69735,1776,"Yes","all_QUD","trial_1",423,17,"13","some.wav",7.48211892355212,1776
"144",10.69735,858,"No","all_QUD","trial_1",423,37,"13","some.wav",6.75460409948796,858
"145",10.69735,1143,"Yes","all_QUD","trial_1",423,43,"13","some.wav",7.04141166379481,1143
"146",10.69735,1853,"Yes","all_QUD","trial_2",423,57,"13","some.wav",7.52456122628536,1853
"147",10.69735,862,"No","all_QUD","trial_2",423,75,"13","some.wav",6.75925527066369,862
"148",8.44665,2754,"Yes","all_QUD","trial_1",425,11,"13","some.wav",7.9208096792886,2754
"149",8.44665,1748,"Yes","all_QUD","trial_1",425,22,"13","some.wav",7.46622755621548,1748
