"","rawRT","key","slide_type","workerid","image","audio","Answer.condition","Answer.time_in_minutes","slide_number","age_group","qud"
"122","2965","Yes","trial_1",1,"8","eight.wav","all_QUD",16.4025166666667,45,"age1","all"
"123","10454","Yes","trial_1",1,"11","eleven.wav","all_QUD",16.4025166666667,46,"age1","all"
"124","0","Empty","comprehension_check_2",1,"","","all_QUD",16.4025166666667,47,"age1","all"
"125","1387","No","trial_2",1,"5","two.wav","all_QUD",16.4025166666667,48,"age1","all"
"126","1399","No","trial_2",1,"11","one.wav","all_QUD",16.4025166666667,49,"age1","all"
"127","2128","Yes","trial_2",1,"2","summa.wav","all_QUD",16.4025166666667,50,"age1","all"
"128","943","Yes","trial_2",1,"2","two.wav","all_QUD",16.4025166666667,51,"age1","all"
"129","1249","No","trial_2",1,"5","all.wav","all_QUD",16.4025166666667,52,"age1","all"
"130","2764","Yes","trial_2",1,"8","eight.wav","all_QUD",16.4025166666667,53,"age1","all"
"131","3137","Yes","trial_2",1,"8","eight.wav","all_QUD",16.4025166666667,54,"age1","all"
"132","923","Yes","trial_2",1,"13","all.wav","all_QUD",16.4025166666667,55,"age1","all"
"133","1240","No","trial_2",1,"13","ten.wav","all_QUD",16.4025166666667,56,"age1","all"
"134","1008","No","trial_2",1,"13","summa.wav","all_QUD",16.4025166666667,57,"age1","all"
"135","1397","Yes","trial_2",1,"0","none.wav","all_QUD",16.4025166666667,58,"age1","all"
"136","1523","No","trial_2",1,"0","summa.wav","all_QUD",16.4025166666667,59,"age1","all"
"137","1429","Yes","trial_2",1,"13","all.wav","all_QUD",16.4025166666667,60,"age1","all"
"138","1425","No","trial_2",1,"13","summa.wav","all_QUD",16.4025166666667,61,"age1","all"
"139","2945","No","trial_2",1,"0","three.wav","all_QUD",16.4025166666667,62,"age1","all"
"140","1287","No","trial_2",1,"13","none.wav","all_QUD",16.4025166666667,63,"age1","all"
"141","2610","Yes","trial_2",1,"5","five.wav","all_QUD",16.4025166666667,64,"age1","all"
"142","1266","No","trial_2",1,"8","all.wav","all_QUD",16.4025166666667,65,"age1","all"
"143","1731","No","trial_2",1,"8","two.wav","all_QUD",16.4025166666667,66,"age1","all"
"144","1224","Yes","trial_2",1,"2","two.wav","all_QUD",16.4025166666667,67,"age1","all"
"145","970","No","trial_2",1,"13","five.wav","all_QUD",16.4025166666667,68,"age1","all"
