"response","slide_type","workerid","image","audio","Answer.condition","Answer.time_in_minutes","slide_number","speaker_cond"
"[1645, 'Yes']","trial_1",3,"13","all.wav","any_QUD",11.19175,17,"age1_any"
"[4340, 'Yes']","trial_1",3,"13","summa.wav","any_QUD",11.19175,18,"age1_any"
"[1684, 'Yes']","trial_1",3,"2","two.wav","any_QUD",11.19175,19,"age1_any"
"[1445, 'No']","trial_1",3,"5","all.wav","any_QUD",11.19175,20,"age1_any"
"[11724, 'No']","trial_1",3,"11","thirteen.wav","any_QUD",11.19175,21,"age1_any"
"[1812, 'No']","trial_1",3,"8","none.wav","any_QUD",11.19175,22,"age1_any"
"[2196, 'No']","trial_1",3,"13","eight.wav","any_QUD",11.19175,23,"age1_any"
"[1541, 'Yes']","trial_1",3,"2","two.wav","any_QUD",11.19175,24,"age1_any"
"[1548, 'Yes']","trial_1",3,"13","all.wav","any_QUD",11.19175,25,"age1_any"
"[1996, 'No']","trial_1",3,"5","four.wav","any_QUD",11.19175,26,"age1_any"
"[2364, 'No']","trial_1",3,"8","eleven.wav","any_QUD",11.19175,27,"age1_any"
"[1419, 'No']","trial_1",3,"0","five.wav","any_QUD",11.19175,28,"age1_any"
"[4580, 'Yes']","trial_1",3,"11","eleven.wav","any_QUD",11.19175,29,"age1_any"
"[1579, 'No']","trial_1",3,"11","all.wav","any_QUD",11.19175,30,"age1_any"
"[1589, 'Yes']","trial_1",3,"2","two.wav","any_QUD",11.19175,31,"age1_any"
"[3740, 'Yes']","trial_1",3,"13","summa.wav","any_QUD",11.19175,32,"age1_any"
"[1596, 'Yes']","trial_1",3,"5","summa.wav","any_QUD",11.19175,33,"age1_any"
"[3310, 'Yes']","trial_1",3,"13","summa.wav","any_QUD",11.19175,34,"age1_any"
"[1404, 'Yes']","trial_1",3,"2","two.wav","any_QUD",11.19175,35,"age1_any"
"[1620, 'Yes']","trial_1",3,"5","five.wav","any_QUD",11.19175,36,"age1_any"
"[1469, 'Yes']","trial_1",3,"8","eight.wav","any_QUD",11.19175,37,"age1_any"
"[1627, 'Yes']","trial_1",3,"13","all.wav","any_QUD",11.19175,38,"age1_any"
"[1475, 'No']","trial_1",3,"0","summa.wav","any_QUD",11.19175,39,"age1_any"
"[1379, 'No']","trial_1",3,"0","all.wav","any_QUD",11.19175,40,"age1_any"
"[1548, 'No']","trial_1",3,"5","ten.wav","any_QUD",11.19175,41,"age1_any"
"[1540, 'Yes']","trial_1",3,"0","none.wav","any_QUD",11.19175,42,"age1_any"
"[2156, 'No']","trial_1",3,"11","none.wav","any_QUD",11.19175,43,"age1_any"
"[1701, 'No']","trial_1",3,"0","eleven.wav","any_QUD",11.19175,44,"age1_any"
"[1796, 'No']","trial_1",3,"11","seven.wav","any_QUD",11.19175,45,"age1_any"
"[1532, 'Yes']","trial_1",3,"13","all.wav","any_QUD",11.19175,46,"age1_any"
"[0, 'Jam']","comprehension_check_2",3,"","","any_QUD",11.19175,47,"age1_any"
"[1427, 'No']","trial_2",3,"8","all.wav","any_QUD",11.19175,48,"age1_any"
"[1460, 'Yes']","trial_2",3,"0","none.wav","any_QUD",11.19175,49,"age1_any"
"[1579, 'Yes']","trial_2",3,"13","all.wav","any_QUD",11.19175,50,"age1_any"
"[1651, 'No']","trial_2",3,"13","ten.wav","any_QUD",11.19175,51,"age1_any"
"[1588, 'No']","trial_2",3,"5","all.wav","any_QUD",11.19175,52,"age1_any"
"[2699, 'Yes']","trial_2",3,"8","eight.wav","any_QUD",11.19175,53,"age1_any"
"[1492, 'Yes']","trial_2",3,"5","five.wav","any_QUD",11.19175,54,"age1_any"
"[1340, 'Yes']","trial_2",3,"2","two.wav","any_QUD",11.19175,55,"age1_any"
"[1972, 'Yes']","trial_2",3,"13","summa.wav","any_QUD",11.19175,56,"age1_any"
