"","audio","Answer.time_in_minutes","rawRT","key","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"188","all.wav",15.1379666666667,"2056","Yes",2,"trial_1",31,"all_QUD","13","all"
"189","some.wav",15.1379666666667,"1746","Yes",2,"trial_1",32,"all_QUD","13","all"
"190","two.wav",15.1379666666667,"1302","Yes",2,"trial_1",33,"all_QUD","2","all"
"191","none.wav",15.1379666666667,"2661","Yes",2,"trial_1",34,"all_QUD","0","all"
"192","two.wav",15.1379666666667,"1667","Yes",2,"trial_1",35,"all_QUD","2","all"
"193","eight.wav",15.1379666666667,"4945","Yes",2,"trial_1",36,"all_QUD","8","all"
"194","eleven.wav",15.1379666666667,"4424","Yes",2,"trial_1",37,"all_QUD","11","all"
"195","eleven.wav",15.1379666666667,"1674","No",2,"trial_1",38,"all_QUD","0","all"
"196","five.wav",15.1379666666667,"1588","Yes",2,"trial_1",39,"all_QUD","5","all"
"197","all.wav",15.1379666666667,"2238","No",2,"trial_1",40,"all_QUD","0","all"
"198","seven.wav",15.1379666666667,"3105","No",2,"trial_1",41,"all_QUD","11","all"
"199","some.wav",15.1379666666667,"1822","Yes",2,"trial_1",42,"all_QUD","13","all"
"200","all.wav",15.1379666666667,"2148","Yes",2,"trial_1",43,"all_QUD","13","all"
"201","some.wav",15.1379666666667,"1534","No",2,"trial_1",44,"all_QUD","0","all"
"202","none.wav",15.1379666666667,"1932","Yes",2,"trial_1",45,"all_QUD","0","all"
"203","all.wav",15.1379666666667,"2801","No",2,"trial_1",46,"all_QUD","11","all"
"204","",15.1379666666667,"0","Empty",2,"comprehension_check_2",47,"all_QUD","","all"
"205","two.wav",15.1379666666667,"2129","No",2,"trial_2",48,"all_QUD","5","all"
"206","eight.wav",15.1379666666667,"6307","Yes",2,"trial_2",49,"all_QUD","8","all"
"207","some.wav",15.1379666666667,"3435","Yes",2,"trial_2",50,"all_QUD","2","all"
"208","all.wav",15.1379666666667,"1839","No",2,"trial_2",51,"all_QUD","5","all"
"209","none.wav",15.1379666666667,"1950","Yes",2,"trial_2",52,"all_QUD","0","all"
