"audio","Answer.time_in_minutes","response","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"none.wav",7.63001666666667,"[891, 'Yes']",1,"trial_1",35,"all_QUD","0","all"
"eleven.wav",7.63001666666667,"[2618, 'Yes']",1,"trial_1",36,"all_QUD","11","all"
"some.wav",7.63001666666667,"[1395, 'Yes']",1,"trial_1",37,"all_QUD","5","all"
"eight.wav",7.63001666666667,"[972, 'Yes']",1,"trial_1",38,"all_QUD","8","all"
"all.wav",7.63001666666667,"[1033, 'No']",1,"trial_1",39,"all_QUD","0","all"
"seven.wav",7.63001666666667,"[2187, 'No']",1,"trial_1",40,"all_QUD","11","all"
"some.wav",7.63001666666667,"[961, 'No']",1,"trial_1",41,"all_QUD","0","all"
"all.wav",7.63001666666667,"[1370, 'No']",1,"trial_1",42,"all_QUD","11","all"
"all.wav",7.63001666666667,"[1188, 'Yes']",1,"trial_1",43,"all_QUD","13","all"
"some.wav",7.63001666666667,"[1746, 'No']",1,"trial_1",44,"all_QUD","13","all"
"two.wav",7.63001666666667,"[1029, 'Yes']",1,"trial_1",45,"all_QUD","2","all"
"five.wav",7.63001666666667,"[1161, 'Yes']",1,"trial_1",46,"all_QUD","5","all"
"",7.63001666666667,"[0, 'Empty']",1,"comprehension_check_2",47,"all_QUD","","all"
"some.wav",7.63001666666667,"[1085, 'No']",1,"trial_2",48,"all_QUD","0","all"
"two.wav",7.63001666666667,"[1053, 'No']",1,"trial_2",49,"all_QUD","5","all"
"three.wav",7.63001666666667,"[1059, 'No']",1,"trial_2",50,"all_QUD","0","all"
"some.wav",7.63001666666667,"[1401, 'Yes']",1,"trial_2",51,"all_QUD","2","all"
"one.wav",7.63001666666667,"[1507, 'No']",1,"trial_2",52,"all_QUD","11","all"
"two.wav",7.63001666666667,"[1117, 'Yes']",1,"trial_2",53,"all_QUD","2","all"
"ten.wav",7.63001666666667,"[3004, 'No']",1,"trial_2",54,"all_QUD","13","all"
"all.wav",7.63001666666667,"[883, 'Yes']",1,"trial_2",55,"all_QUD","13","all"
"some.wav",7.63001666666667,"[1545, 'No']",1,"trial_2",56,"all_QUD","13","all"
"eight.wav",7.63001666666667,"[1235, 'Yes']",1,"trial_2",57,"all_QUD","8","all"
"five.wav",7.63001666666667,"[971, 'Yes']",1,"trial_2",58,"all_QUD","5","all"
"none.wav",7.63001666666667,"[977, 'Yes']",1,"trial_2",59,"all_QUD","0","all"
"all.wav",7.63001666666667,"[1286, 'No']",1,"trial_2",60,"all_QUD","5","all"
"some.wav",7.63001666666667,"[1154, 'No']",1,"trial_2",61,"all_QUD","13","all"
"all.wav",7.63001666666667,"[1019, 'Yes']",1,"trial_2",62,"all_QUD","13","all"
"eight.wav",7.63001666666667,"[860, 'Yes']",1,"trial_2",63,"all_QUD","8","all"
"all.wav",7.63001666666667,"[1105, 'No']",1,"trial_2",64,"all_QUD","8","all"
