"","X","Answer.time_in_minutes","rawRT","key","Answer.condition","slide_type","workerid","slide_number","image","audio","speaker_cond","logRT","rt"
"139",1819,6.91218333333333,1075,"No","all_QUD","trial_2",22,55,"13","some.wav","allQUD",6.98007594056176,1075
"140",1833,6.91218333333333,1289,"No","all_QUD","trial_2",22,69,"13","some.wav","allQUD",7.16162200293919,1289
"141",1844,6.91218333333333,1419,"No","all_QUD","trial_2",22,80,"13","some.wav","allQUD",7.25770767716004,1419
"142",1856,10.69735,3593,"Yes","all_QUD","trial_1",23,12,"13","some.wav","allQUD",8.18674278711352,3593
"143",1861,10.69735,1776,"Yes","all_QUD","trial_1",23,17,"13","some.wav","allQUD",7.48211892355212,1776
"144",1881,10.69735,858,"No","all_QUD","trial_1",23,37,"13","some.wav","allQUD",6.75460409948796,858
"145",1887,10.69735,1143,"Yes","all_QUD","trial_1",23,43,"13","some.wav","allQUD",7.04141166379481,1143
"146",1901,10.69735,1853,"Yes","all_QUD","trial_2",23,57,"13","some.wav","allQUD",7.52456122628536,1853
"147",1919,10.69735,862,"No","all_QUD","trial_2",23,75,"13","some.wav","allQUD",6.75925527066369,862
"148",2018,8.44665,2754,"Yes","all_QUD","trial_1",25,11,"13","some.wav","allQUD",7.9208096792886,2754
"149",2029,8.44665,1748,"Yes","all_QUD","trial_1",25,22,"13","some.wav","allQUD",7.46622755621548,1748
"150",2044,8.44665,1244,"Yes","all_QUD","trial_1",25,37,"13","some.wav","allQUD",7.12608727329912,1244
"151",2051,8.44665,1053,"No","all_QUD","trial_1",25,44,"13","some.wav","allQUD",6.95939851213398,1053
"152",2058,8.44665,1325,"Yes","all_QUD","trial_2",25,51,"13","some.wav","allQUD",7.18916773842032,1325
"153",2071,8.44665,1236,"Yes","all_QUD","trial_2",25,64,"13","some.wav","allQUD",7.11963563801764,1236
"154",2073,8.44665,1380,"Yes","all_QUD","trial_2",25,66,"13","some.wav","allQUD",7.22983877815125,1380
"155",2082,8.44665,1324,"Yes","all_QUD","trial_2",25,75,"13","some.wav","allQUD",7.18841273649695,1324
"156",2099,11.6494833333333,1996,"No","all_QUD","trial_1",26,12,"13","some.wav","allQUD",7.59890045687141,1996
"157",2102,11.6494833333333,3050,"Yes","all_QUD","trial_1",26,15,"13","some.wav","allQUD",8.02289686960146,3050
"158",2125,11.6494833333333,1923,"No","all_QUD","trial_1",26,38,"13","some.wav","allQUD",7.56164174558878,1923
"159",2131,11.6494833333333,1736,"No","all_QUD","trial_1",26,44,"13","some.wav","allQUD",7.4593388952203,1736
"160",2138,11.6494833333333,1552,"No","all_QUD","trial_2",26,51,"13","some.wav","allQUD",7.34729970074316,1552
"161",2147,11.6494833333333,1704,"No","all_QUD","trial_2",26,60,"13","some.wav","allQUD",7.44073370738926,1704
"162",2156,11.6494833333333,1749,"No","all_QUD","trial_2",26,69,"13","some.wav","allQUD",7.4667994750186,1749
"163",2161,11.6494833333333,1478,"No","all_QUD","trial_2",26,74,"13","some.wav","allQUD",7.29844510150815,1478
"164",2178,10.7704166666667,2165,"Yes","all_QUD","trial_1",27,11,"13","some.wav","allQUD",7.68017564043659,2165
"165",2193,10.7704166666667,1489,"Yes","all_QUD","trial_1",27,26,"13","some.wav","allQUD",7.30586003268401,1489
"166",2201,10.7704166666667,1365,"Yes","all_QUD","trial_1",27,34,"13","some.wav","allQUD",7.21890970761906,1365
"167",2205,10.7704166666667,1369,"Yes","all_QUD","trial_1",27,38,"13","some.wav","allQUD",7.22183582528845,1369
"168",2226,10.7704166666667,1243,"Yes","all_QUD","trial_2",27,59,"13","some.wav","allQUD",7.12528309151071,1243
"169",2230,10.7704166666667,1355,"Yes","all_QUD","trial_2",27,63,"13","some.wav","allQUD",7.2115567333138,1355
"170",2234,10.7704166666667,1157,"Yes","all_QUD","trial_2",27,67,"13","some.wav","allQUD",7.05358572719368,1157
"171",2243,10.7704166666667,1095,"Yes","all_QUD","trial_2",27,76,"13","some.wav","allQUD",6.9985096422506,1095
"172",2264,6.95023333333333,1436,"Yes","all_QUD","trial_1",28,17,"13","some.wav","allQUD",7.26961674960817,1436
"173",2270,6.95023333333333,945,"No","all_QUD","trial_1",28,23,"13","some.wav","allQUD",6.85118492749374,945
"174",2279,6.95023333333333,1194,"Yes","all_QUD","trial_1",28,32,"13","some.wav","allQUD",7.08506429395255,1194
