"","slide_type","image","slide_number","Answer.condition","workerid","Answer.time_in_minutes","rawRT","key","audio"
"124","comprehension_check_2","",47,"any_QUD",1,9.23113333333333,"0","Empty",""
"125","comprehension_check_2","",47,"any_QUD",1,9.23113333333333,"0","Jam",""
"126","trial_2","2",48,"any_QUD",1,9.23113333333333,"1478","Yes","two.wav"
"127","trial_2","13",49,"any_QUD",1,9.23113333333333,"1456","No","some.wav"
"128","trial_2","11",50,"any_QUD",1,9.23113333333333,"1825","No","one.wav"
"129","trial_2","13",51,"any_QUD",1,9.23113333333333,"1751","No","ten.wav"
"130","trial_2","0",52,"any_QUD",1,9.23113333333333,"1709","Yes","none.wav"
"131","trial_2","8",53,"any_QUD",1,9.23113333333333,"1284","No","all.wav"
"132","trial_2","2",54,"any_QUD",1,9.23113333333333,"2189","Yes","some.wav"
"133","trial_2","13",55,"any_QUD",1,9.23113333333333,"1250","No","some.wav"
"134","trial_2","8",56,"any_QUD",1,9.23113333333333,"2585","Yes","eight.wav"
"135","trial_2","0",57,"any_QUD",1,9.23113333333333,"1079","No","three.wav"
"136","trial_2","5",58,"any_QUD",1,9.23113333333333,"1093","No","two.wav"
"137","trial_2","13",59,"any_QUD",1,9.23113333333333,"1071","Yes","all.wav"
"138","trial_2","13",60,"any_QUD",1,9.23113333333333,"971","No","none.wav"
"139","trial_2","13",61,"any_QUD",1,9.23113333333333,"854","Yes","all.wav"
"140","trial_2","5",62,"any_QUD",1,9.23113333333333,"44","Late","five.wav"
"141","trial_2","8",63,"any_QUD",1,9.23113333333333,"1501","Yes","eight.wav"
"142","trial_2","0",64,"any_QUD",1,9.23113333333333,"1006","No","some.wav"
"143","trial_2","5",65,"any_QUD",1,9.23113333333333,"1341","No","all.wav"
"144","trial_2","13",66,"any_QUD",1,9.23113333333333,"1137","No","some.wav"
"145","trial_2","11",67,"any_QUD",1,9.23113333333333,"1285","Yes","some.wav"
"146","trial_2","13",68,"any_QUD",1,9.23113333333333,"1544","No","five.wav"
"147","trial_2","2",69,"any_QUD",1,9.23113333333333,"1005","No","none.wav"
"148","trial_2","13",70,"any_QUD",1,9.23113333333333,"857","Yes","all.wav"
"149","trial_2","2",71,"any_QUD",1,9.23113333333333,"48","Late","twelve.wav"
"150","trial_2","11",72,"any_QUD",1,9.23113333333333,"1526","Yes","eleven.wav"
"151","trial_2","5",73,"any_QUD",1,9.23113333333333,"1429","No","nine.wav"
"152","trial_2","8",74,"any_QUD",1,9.23113333333333,"1188","Yes","eight.wav"
