"Answer.time_in_minutes","image","audio","response","workerid","Answer.condition","slide_type","slide_number","speaker_cond"
9.56175,"8","all.wav","[1332, 'No']",1,"age1-anyQUD","trial_2",63,"r1-age1-any"
9.56175,"13","none.wav","[1033, 'No']",1,"age1-anyQUD","trial_2",64,"r1-age1-any"
9.56175,"8","eight.wav","[2460, 'Yes']",1,"age1-anyQUD","trial_2",65,"r1-age1-any"
9.56175,"13","five.wav","[1454, 'No']",1,"age1-anyQUD","trial_2",66,"r1-age1-any"
9.56175,"13","all.wav","[1391, 'Yes']",1,"age1-anyQUD","trial_2",67,"r1-age1-any"
9.56175,"8","two.wav","[1346, 'No']",1,"age1-anyQUD","trial_2",68,"r1-age1-any"
9.56175,"11","eleven.wav","[5150, 'Yes']",1,"age1-anyQUD","trial_2",69,"r1-age1-any"
9.56175,"13","summa.wav","[1543, 'No']",1,"age1-anyQUD","trial_2",70,"r1-age1-any"
9.56175,"2","none.wav","[1458, 'No']",1,"age1-anyQUD","trial_2",71,"r1-age1-any"
9.56175,"5","nine.wav","[1516, 'No']",1,"age1-anyQUD","trial_2",72,"r1-age1-any"
9.56175,"2","two.wav","[1355, 'Yes']",1,"age1-anyQUD","trial_2",73,"r1-age1-any"
9.56175,"0","all.wav","[1059, 'Yes']",1,"age1-anyQUD","trial_2",74,"r1-age1-any"
9.56175,"13","all.wav","[1368, 'Yes']",1,"age1-anyQUD","trial_2",75,"r1-age1-any"
9.56175,"13","summa.wav","[1829, 'No']",1,"age1-anyQUD","trial_2",76,"r1-age1-any"
9.56175,"0","none.wav","[1481, 'Yes']",1,"age1-anyQUD","trial_2",77,"r1-age1-any"
9.56175,"8","eight.wav","[4906, 'Yes']",1,"age1-anyQUD","trial_2",78,"r1-age1-any"
9.56175,"0","summa.wav","[1201, 'No']",1,"age1-anyQUD","trial_2",79,"r1-age1-any"
9.56175,"2","twelve.wav","[1592, 'No']",1,"age1-anyQUD","trial_2",80,"r1-age1-any"
9.56175,"5","five.wav","[1161, 'Yes']",1,"age1-anyQUD","trial_2",81,"r1-age1-any"
9.56175,"11","all.wav","[1307, 'No']",1,"age1-anyQUD","trial_2",82,"r1-age1-any"
