"","rawRT","key","audio","age_group","qud","slide_type","image","slide_number","workerid","Answer.time_in_minutes","speaker_cond"
"92","2099","No","summa.wav","age1","allQUD","trial_1","13",15,1,9.46383333333333,"age1all"
"93","2236","Yes","all.wav","age1","allQUD","trial_1","13",16,1,9.46383333333333,"age1all"
"94","1914","No","five.wav","age1","allQUD","trial_1","0",17,1,9.46383333333333,"age1all"
"95","1555","Yes","two.wav","age1","allQUD","trial_1","2",18,1,9.46383333333333,"age1all"
"96","2260","No","summa.wav","age1","allQUD","trial_1","0",19,1,9.46383333333333,"age1all"
"97","1794","No","eight.wav","age1","allQUD","trial_1","13",20,1,9.46383333333333,"age1all"
"98","1909","Yes","two.wav","age1","allQUD","trial_1","2",21,1,9.46383333333333,"age1all"
"99","1569","No","all.wav","age1","allQUD","trial_1","5",22,1,9.46383333333333,"age1all"
"100","1894","No","all.wav","age1","allQUD","trial_1","2",23,1,9.46383333333333,"age1all"
"101","5711","No","eleven.wav","age1","allQUD","trial_1","8",24,1,9.46383333333333,"age1all"
"102","5395","No","thirteen.wav","age1","allQUD","trial_1","11",25,1,9.46383333333333,"age1all"
"103","2254","No","summa.wav","age1","allQUD","trial_1","13",26,1,9.46383333333333,"age1all"
"104","1825","No","none.wav","age1","allQUD","trial_1","8",27,1,9.46383333333333,"age1all"
"105","2010","Yes","summa.wav","age1","allQUD","trial_1","8",28,1,9.46383333333333,"age1all"
"106","1848","Yes","all.wav","age1","allQUD","trial_1","13",29,1,9.46383333333333,"age1all"
"107","1607","No","none.wav","age1","allQUD","trial_1","11",30,1,9.46383333333333,"age1all"
"108","1786","Yes","two.wav","age1","allQUD","trial_1","2",31,1,9.46383333333333,"age1all"
"109","1458","No","all.wav","age1","allQUD","trial_1","11",32,1,9.46383333333333,"age1all"
"110","1705","Yes","two.wav","age1","allQUD","trial_1","2",33,1,9.46383333333333,"age1all"
"111","3373","Yes","eight.wav","age1","allQUD","trial_1","8",34,1,9.46383333333333,"age1all"
"112","5740","Yes","eleven.wav","age1","allQUD","trial_1","11",35,1,9.46383333333333,"age1all"
"113","1568","Yes","none.wav","age1","allQUD","trial_1","0",36,1,9.46383333333333,"age1all"
